id,pk,artist,title,category,genre,cdextra,year,track01,track02,track03,track04,ClusterID
1818,a30a390d,pink floyd,the wall disc 1,data,Data,ID3G: 254,,in the flesh,the thin ice,another brick in the wall part 1,the happiest days of our lives,1818
1823,a3107b0c,Carlos Santana,Carlos,data,,,,(Da Le) Yaleo,Love Of My Life,Put You Love Lights On,Smooth,1823
1828,a40cb80f,Frans Bauer,'n ons geluk,data,Other,,2004,'n ONS geluk,,,,1828
1838,a70d080c,2Pac,Greatest Hits (CD1),data,Rap,YEAR: 1998 ID3G: 15,1998,Keep Ya Head Up,2 Of Amerikaz Most Wanted (Ft. Snoop Dogg),Temptations,God Bless The Dead,1838
1858,ab0cf90d,̤  ,̤  ,data,,,, ȥ å  1, ȥ å  2, ȥ å  3, ȥ å  4,1858
1866,ad0bec0c, Ҹ   ,Modern Worship Shema (    ),data,CCM (Contemporary Christian Music),ID3G: 38,2002,                  , ϴ        ִ   ۿ ,                  , 񸶸   ڵ  ,1866
1884,a008400c,Leon Redbone,Up a Lazy River,folk,R&B,,,01 Play Gipsy Play,02 At the Chocolate Bon Bon Ball,03 Lazy River,04 When Dixie Stars Are Playing Peek-A-Boo,1884
2004,a20b090c,                ,                    ,folk,Folk,,,                        ,          ,                    ,                     ,2004
2026,a308210c,Alkaline Trio,Goddamnit!,folk,Indie,YEAR: 1998,1998,Cringe,Cop,San Francisco,Nose over Tail,2026
2110,a40cb80f,Frans Bauer,Een Ons Geluk,folk,Folk,,2003,Een Ons Geluk,Duizend Rode Rozen,Morgen Schijnt De Zon,Ga Met Je Heupen Draaien,1828
2139,a50a430c,James Taylor,Greatest Hits Vol 1,folk,Folk/Rock,,1976,Something In The Way She Moves,Carolina In My Mind,Fire And Rain,Sweet Baby James,2139
2187,a60a950d,    ,  ҹ  ,folk,Folk,,,  Ļ,     ޺  ,           ۾ , ٻ һ  ,2187
2188,a60ad90d,Estopa,Destrangis,folk,,,,Vino tinto,Luna lunera,Destrangis in the night,Demonios,2188
2252,a70f160c,         International,         +,folk,Russian Pop,,2003,         feat.  .        ,         feat.  .     ,        feat.  .           ,       _         feat.  .        ,2252
2317,a909860e,V mm l Spellmannslag,V mm l'n,folk,Folk,YEAR: 1974 ID3G: 80,1974,V mm lstev,H vlerivisa,Peder og Hamarforsens brus,Vinterbruden,2317
2366,aa0a7f0d,The Greenland Whalefishers,the mainstreet sword,folk,Folk-Rock,,,1. i am roving.,2. peggy lettermore.,3. mary B.,4. the clown.,2366
2367,aa0a810d,The Greenland Whalefishers,The Mainstreet Sword,folk,Folk-Rock,YEAR: 1996 ID3G: 81,1996,1. I Am Roving,2. Peggy Lettermore.,3. Mary B.,4. The Clown,2366
2406,ab09900c,Francesco De Gegori,Alice non lo sa,folk,pop,,1973,Alice,1940,Le strade di lei,Suonatori di flauto,2406
2418,ab0a950d,    ,  ҹ  ,folk,Pop,,1995,  Ļ,     ޺  ,           ۾ , ٻ һ  ,2187
2427,ab0bdd0d,Cranberries,No Need to Argue,folk,Pop-Folk,YEAR: 1994,1994,Ode to My Family,I Can't Be with You,Twenty One,Zombie,2427
2440,ab0e3b0c,Nando Reis,A Letra A,folk,Pop,YEAR: 2003 ID3G: 13,2003,A Letra A,E Tudo Mais,Dentro Do Mesmo Time,Hoje Mesmo,2440
2530,ad0bec0c, Ҹ   ,Shema,folk,Gospel,ID3G: 38,,01-                  ,02- ϴ        ִ   ۿ ,03-                  ,04- 񸶸   ڵ  ,1866
2571,ae0cfd0d,Chayanne,Simplemente,folk,Latin,,1999,Boom Boom,Las Horas Pasan,Candela,Yo Te Amo,2571
2577,ae0e160c,Jacky Tar,Defenestration,folk,Celtic,YEAR: 2002 ID3G: 88,2002,Rovin' Journeyman,Billy the Whizz,Hoora Hoora,Barry,2577
2581,ae0e490c,Jacky Tar,Defenestration,folk,Folk,,,Rovin' Journeyman,Billy The Whizz,Uisce Beatha,Barry,2577
2619,af0ca00c,Shane Barnard,Psalms,folk,Folk-Rock,,2001,Unto You,Waiting Room,Psalm 13,Psalm 143 (Receive Me),2619
2707,a10eea0d,Bruce Dickinson,The Best Of Bruce Dickinson (DISC 1),jazz,Metal,YEAR: 2001,2001,Broken,Tattooed Millionaire,Laughing In The Hiding Bush (LIVE),Tears Of The Dragon,2707
2771,a30c690b,Rechard Bona,Munia,jazz,Jazz,,2003,Bonatology (Incantation),Kalabancoro,Sona Mama,Painting a wish,2771
2781,a30da00d,Gipsy Kings,Compas,jazz,Latin,YEAR: 1997,1997,Ami Wa Wa (Solo Por Ti),Que Si Que No (Funiculi Funicula),Una Rumba Por Aqui,Receuerdo Apasionado,2781
2807,a409020d,Combustible Edison,Schizophonic,jazz,Jazz,,1996,"Alright, Already",Bluebeard,The Checkered Flag,One Eyed Monkey,2807
2813,a40b200d,Corduroy,Out of Here,jazz,,,,Don't Wait for Monday,Practise What You Preach,Red Mercury,End of the Rainbow,2813
